thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.0,1.0,0.5,0,0,1330,10
0.5,0.0,1.0,0.5,0,0,1330,10
0.55,0.0,1.0,0.5,0,0,1330,10
0.6,0.0,1.0,0.5,0,0,1330,10
0.65,0.0,1.0,0.5,0,0,1330,10
0.7,0.0,1.0,0.5,0,0,1330,10
0.75,0.0,1.0,0.5,0,0,1330,10
0.8,0.0,1.0,0.5,0,0,1330,10
0.85,0.0,0.9977443609022556,0.4988721804511278,0,3,1327,10
0.9,0.0,0.9977443609022556,0.4988721804511278,0,3,1327,10
0.95,0.0,0.9977443609022556,0.4988721804511278,0,3,1327,10
1.0,0.0,0.9977443609022556,0.4988721804511278,0,3,1327,10
