Time: 2026-05-13 13:39:38
Log Dir: logs/2026-05-13_13-39-38/Ours_GeFL
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: Ours_GeFL
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 10
  num_train_cifar100: 0
  num_train_usps: 0
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 55
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 25
gen_observer_weight: 1.0
index_matching: real_image
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.85
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.0001
global_samples_per_class: 64

================================================================================

==================================================
Start 55 rounds training by Ours_GeFL
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 1 ---
Client 0 (MNIST) | Target Loss: 0.9820 | G Loss: 2.3939 | D Loss: 0.3262
Client 1 (MNIST) | Target Loss: 1.4843 | G Loss: 2.8133 | D Loss: 0.2860
Client 2 (MNIST) | Target Loss: 0.8274 | G Loss: 2.9106 | D Loss: 0.2799
Client 3 (MNIST) | Target Loss: 0.4776 | G Loss: 2.8606 | D Loss: 0.2983
Client 4 (MNIST) | Target Loss: 1.6307 | G Loss: 2.7323 | D Loss: 0.3001
Client 5 (MNIST) | Target Loss: 1.7751 | G Loss: 2.7044 | D Loss: 0.3070
Client 6 (MNIST) | Target Loss: 1.2701 | G Loss: 2.4829 | D Loss: 0.3143
Client 7 (MNIST) | Target Loss: 1.3376 | G Loss: 2.4542 | D Loss: 0.3244
Client 8 (MNIST) | Target Loss: 1.7548 | G Loss: 2.5057 | D Loss: 0.3213
Client 9 (MNIST) | Target Loss: 1.7184 | G Loss: 2.6232 | D Loss: 0.3028
Client 11 (EMNIST) | Target Loss: 1.2249 | G Loss: 2.1093 | D Loss: 0.3110
Client 12 (EMNIST) | Target Loss: 1.3411 | G Loss: 2.1565 | D Loss: 0.3119
Client 13 (EMNIST) | Target Loss: 0.9339 | G Loss: 2.1010 | D Loss: 0.3135
Client 14 (EMNIST) | Target Loss: 0.7370 | G Loss: 2.1188 | D Loss: 0.3124
Client 15 (EMNIST) | Target Loss: 1.4854 | G Loss: 2.0804 | D Loss: 0.3201
Client 16 (EMNIST) | Target Loss: 2.0702 | G Loss: 2.0462 | D Loss: 0.3221
Client 17 (EMNIST) | Target Loss: 1.1882 | G Loss: 2.0663 | D Loss: 0.3221
Client 18 (EMNIST) | Target Loss: 1.3099 | G Loss: 2.0715 | D Loss: 0.3230
Client 19 (EMNIST) | Target Loss: 1.7236 | G Loss: 2.0248 | D Loss: 0.3324
Client 20 (EMNIST) | Target Loss: 1.6384 | G Loss: 2.1085 | D Loss: 0.3099
Client 22 (CIFAR10) | Target Loss: 2.0153 | G Loss: 2.4481 | D Loss: 0.3842
Client 23 (CIFAR10) | Target Loss: 1.9288 | G Loss: 2.4671 | D Loss: 0.3790
Client 24 (CIFAR10) | Target Loss: 1.8610 | G Loss: 2.4070 | D Loss: 0.3806
Client 25 (CIFAR10) | Target Loss: 1.9161 | G Loss: 2.8303 | D Loss: 0.3360
Client 26 (CIFAR10) | Target Loss: 2.1891 | G Loss: 2.6876 | D Loss: 0.3609
Client 27 (CIFAR10) | Target Loss: 1.9885 | G Loss: 2.7193 | D Loss: 0.3531
Client 28 (CIFAR10) | Target Loss: 2.1837 | G Loss: 2.6292 | D Loss: 0.3562
Client 29 (CIFAR10) | Target Loss: 2.1353 | G Loss: 2.6117 | D Loss: 0.3748
Client 30 (CIFAR10) | Target Loss: 2.2405 | G Loss: 3.3434 | D Loss: 0.2893
Client 31 (CIFAR10) | Target Loss: 2.1661 | G Loss: 2.3861 | D Loss: 0.3727
Round 1 | Client 0 | Model: (MLP) | Acc: 82.99%
Round 1 | Client 1 | Model: (CNN) | Acc: 68.00%
Round 1 | Client 2 | Model: (ResNet8) | Acc: 77.24%
Round 1 | Client 3 | Model: (ResNet18) | Acc: 94.00%
Round 1 | Client 4 | Model: (MobileNetV2) | Acc: 65.52%
Round 1 | Client 5 | Model: (MobileNetV3) | Acc: 51.84%
Round 1 | Client 6 | Model: (LeNet) | Acc: 85.67%
Round 1 | Client 7 | Model: (AlexNet) | Acc: 82.32%
